doc_num,token
0011,"['1.19', '132,000', '15:18:59.34', '1985', '2,858,000', '26-feb-1987', '299.2', '327.2', '34', '4', '440.3', '472.3', '479.7', '510.2', '807,000', 'asset', 'avail', 'carri', 'cbco', 'cobanco', 'cts', 'cts', 'deposit', 'dlrs', 'dlrs', 'extraordinari', 'five', 'forward', 'gain', 'inc', 'includ', 'loan', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'net', 'net', 'note', 'per', 'qtr', 'shr', 'shr', 'tax', 'th', 'vs', 'vs', 'vs', 'vs', 'vs', 'year', 'year']"
0012,"['1', '15', '15:19:15.45', '1986', '2.4', '26-feb-1987', '28', '67.1', '82', 'acquisit', 'acquisit', 'acquisit', 'administr', 'apprais', 'april', 'capit', 'co', 'compani', 'conduct', 'connect', 'consider', 'cts', 'current', 'declin', 'delay', 'dlrs', 'dlrs', 'due', 'due', 'earli', 'earn', 'end', 'expens', 'februari', 'first', 'first', 'first', 'first', 'fiscal', 'higher', 'inc', 'includ', 'issu', 'last', 'late', 'license', 'like', 'lower', 'march', 'mattress', 'mattress', 'may', 'may', 'middl', 'mln', 'mln', 'net', 'note', 'ohio', 'ohio', 'omt', 'outstand', 'pct', 'profit', 'qtr', 'quarter', 'quarter', 'quarter', 'quarter', 'quarter', 'relat', 'report', 'report', 'result', 'said', 'said', 'said', 'said', 'said', 'sale', 'seali', 'seali', 'seven', 'share', 'st', 'stock', 'substanti', 'typic', 'well', 'would', 'year', 'year']"
0013,"['11', '12', '151.1', '15:20:13.09', '1986', '2', '2,227,000', '2,285,000', '2,986,000', '26-feb-1987', '291.8', '298.5', '3,376,000', '31', '4,104,000', '4,841,000', '41.1', '43.4', '442,000', '5,086,000', '51.6', '51.7', '569.3', 'avg', 'avg', 'calcul', 'carryforward', 'credit', 'cts', 'cts', 'cts', 'cts', 'cts', 'cts', 'cts', 'dividend', 'exclud', 'four', 'inc', 'intern', 'jan', 'loss', 'loss', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mths', 'mths', 'nd', 'net', 'nil', 'nine', 'note', 'oper', 'oper', 'oper', 'oper', 'oper', 'payment', 'per', 'period', 'prefer', 'prior', 'profit', 'profit', 'profit', 'profit', 'profit', 'profit', 'profit', 'qtr', 'qtr', 'result', 'rev', 'rev', 'seven', 'shr', 'shr', 'shr', 'shr', 'shrs', 'shrs', 'six', 'six', 'six', 'two', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs']"
0014,"['1.59', '12.6', '15.8', '15:20:27.17', '26-feb-1987', '3.07', '3.08', '315.2', '337.3', '4', '66', '66.2', '73', '997.1', 'bfd', 'billion', 'brown', 'cts', 'dlr', 'dlrs', 'dlrs', 'forman', 'inc', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mln', 'mths', 'net', 'net', 'net', 'nine', 'one', 'qtr', 'rev', 'rev', 'shr', 'shr', 'th', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs']"
0015,"['15:20:48.43', '1985', '26-feb-1987', '35', 'acquir', 'busi', 'busi', 'commiss', 'common', 'compani', 'compani', 'continu', 'continu', 'convert', 'corp', 'cumul', 'exchang', 'file', 'form', 'form', 'general', 'general', 'inc', 'intergroup', 'intergroup', 'intergroupnii', 'l', 'l', 'manag', 'mani', 'nation', 'nation', 'nation', 'offer', 'offer', 'offer', 'p', 'p', 'partner', 'partner', 'partner', 'partnership', 'partnership', 'partnership', 'pct', 'permian', 'permian', 'permian', 'permian', 'permian', 'plan', 'prefer', 'price', 'recent', 'registr', 'retain', 'said', 'said', 'say', 'secur', 'stake', 'statement', 'unit', 'unit', 'unit', 'unit', 'would', 'would']"
0016,"['-1', '-20', '1', '11', '12', '15', '15:21:16.13', '2', '2.70', '200', '26', '26-feb-1987', '8', '9', 'act', 'afternoon', 'along', 'although', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'analyst', 'approv', 'approv', 'approv', 'around', 'arsenio', 'arthur', 'ask', 'bac', 'bancorp', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bank', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'bankamerica', 'believ', 'believ', 'bid', 'bid', 'billion', 'billion', 'birr', 'brazil', 'brazil', 'brazil', 'brazilian', 'brazilian', 'circumst', 'co', 'cohn', 'cohn', 'come', 'commiss', 'communic', 'conceiv', 'condit', 'continu', 'convers', 'convert', 'corp', 'could', 'creditor', 'current', 'daniel', 'debt', 'debt', 'debt', 'debt', 'debt', 'debt', 'delay', 'delay', 'depress', 'determin', 'dilut', 'dlr', 'dlrs', 'dlrs', 'dlrs', 'earlier', 'eas', 'econom', 'encompass', 'equiti', 'equiti', 'equiti', 'evalu', 'even', 'exchang', 'expect', 'expect', 'factor', 'fail', 'fall', 'februari', 'fell', 'fenner', 'file', 'financi', 'financi', 'first', 'first', 'foreign', 'gone', 'group', 'hang', 'hold', 'holder', 'howev', 'immedi', 'immedi', 'improv', 'industri', 'initi', 'interest', 'interest', 'interest', 'interst', 'interst', 'issu', 'januari', 'joseph', 'larg', 'lawrenc', 'lead', 'least', 'like', 'loan', 'long', 'longer', 'longer', 'longer', 'lose', 'lose', 'loss', 'loss', 'lower', 'lynch', 'major', 'major', 'market', 'market', 'market', 'mean', 'merril', 'mexico', 'miller', 'minim', 'mln', 'mln', 'much', 'must', 'near', 'nervous', 'nevertheless', 'news', 'news', 'note', 'note', 'offer', 'offer', 'offer', 'offer', 'offer', 'offer', 'one', 'one', 'outlook', 'part', 'pay', 'payment', 'perform', 'pierc', 'poor', 'portion', 'potenti', 'prefer', 'presid', 'pressur', 'pressur', 'price', 'price', 'problem', 'proceed', 'propos', 'put', 'quarter', 'quarter', 'quick', 'rate', 'reaction', 'receiv', 'recent', 'recommend', 'reduc', 'restructur', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'said', 'sec', 'sec', 'secur', 'secur', 'seen', 'sell', 'servic', 'sever', 'shock', 'show', 'show', 'similar', 'smith', 'specifi', 'spokesman', 'spotlight', 'stand', 'stand', 'stock', 'stock', 'stock', 'stock', 'stock', 'stock', 'stock', 'suspend', 'sutro', 'take', 'takeov', 'takeov', 'term', 'threat', 'time', 'trade', 'type', 'vice', 'wait', 'way', 'week', 'week', 'week', 'well', 'william', 'wilson', 'withdraw', 'would', 'would', 'would', 'would', 'would', 'would', 'year', 'yet', 'yet']"
0017,"['15:24:48.56', '26-feb-1987', '60', 'assess', 'avail', 'call', 'compani', 'comput', 'condit', 'custom', 'day', 'enhanc', 'enhanc', 'evalu', 'fit', 'generat', 'health', 'health', 'health', 'health', 'implement', 'improv', 'inc', 'line', 'nation', 'nation', 'new', 'new', 'nhes', 'offer', 'physic', 'program', 'program', 'program', 'program', 'program', 'receiv', 'recommend', 'report', 'said', 'said', 'system', 'system', 'test', 'use']"
0018,"['1.27', '1.4', '1.53', '15:26:26.78', '1986', '1988', '1988', '20', '26-feb-1987', '30', '34', '36', '4', '40', '40', 'acquisit', 'acquisit', 'act', 'ago', 'alon', 'also', 'also', 'analyst', 'analyst', 'ann', 'anticip', 'arrang', 'australia', 'b', 'benefit', 'benefit', 'billion', 'billion', 'blender', 'blender', 'bottom', 'brazil', 'canada', 'chairman', 'chicago', 'co', 'co', 'compani', 'compani', 'compani', 'corp', 'cts', 'cts', 'cts', 'cts', 'dairi', 'dean', 'dean', 'dean', 'dean', 'dean', 'decemb', 'deriv', 'df', 'dlrs', 'dlrs', 'dlrs', 'dougla', 'dougla', 'dougla', 'dougla', 'dougla', 'e', 'earli', 'earlier', 'earn', 'earn', 'earn', 'earn', 'earn', 'effect', 'elgin', 'end', 'enough', 'entri', 'exceed', 'exceed', 'exceed', 'expect', 'experi', 'fall', 'fiscal', 'fiscal', 'food', 'food', 'food', 'food', 'fourth', 'fourth', 'fourth', 'frozen', 'howard', 'improv', 'inc', 'japan', 'kenneth', 'kingdom', 'larsen', 'last', 'late', 'licens', 'line', 'ltd', 'major', 'may', 'mcd', 'mcdonald', 'milk', 'overal', 'pct', 'perform', 'period', 'presid', 'prior', 'prior', 'probabl', 'processor', 'project', 'project', 'provid', 'qtr', 'quarter', 'quarter', 'quarter', 'quarter', 'rang', 'reform', 'repeat', 'report', 'ryan', 'said', 'said', 'said', 'said', 'said', 'said', 'sale', 'see', 'share', 'share', 'share', 'share', 'sharehold', 'slight', 'strong', 'tax', 'th', 'third', 'told', 'told', 'unit', 'us', 'various', 'veget', 'west', 'whether', 'would', 'year', 'year', 'year', 'year', 'year', 'year']"
0019,"['119.05', '15:26:54.12', '1986', '26-feb-1987', '37,000', 'accept', 'agricultur', 'announc', 'april', 'award', 'award', 'bonus', 'bonus', 'bonus', 'bonus', 'ccc', 'ccc', 'commod', 'commod', 'compani', 'complet', 'corpor', 'cover', 'credit', 'depart', 'dlrs', 'enhanc', 'export', 'export', 'flour', 'flour', 'flour', 'form', 'four', 'initi', 'inventori', 'long', 'march', 'may', 'north', 'north', 'offer', 'paid', 'per', 'pillsburi', 'program', 'purchas', 'said', 'said', 'sale', 'shipment', 'ton', 'tonn', 'u', 'usda', 'wheat', 'wheat', 'wheat', 'wheat', 'yemen', 'yemen']"
0020,"['15:32:03.12', '26-feb-1987', 'arm', 'around', 'bank', 'best', 'bill', 'bill', 'card', 'card', 'card', 'card', 'card', 'card', 'chris', 'co', 'condit', 'conn', 'consum', 'credit', 'credit', 'custom', 'deal', 'disclos', 'disclos', 'disclosur', 'disclosur', 'dodd', 'dodd', 'enough', 'fee', 'financi', 'hous', 'inform', 'inform', 'institut', 'intend', 'interest', 'introduc', 'introduc', 'issu', 'issuer', 'legisl', 'legisl', 'mani', 'materi', 'promot', 'prospect', 'rate', 'requir', 'requir', 'said', 'said', 'sen', 'senat', 'sent', 'shop', 'solicit', 'sponsor', 'statement', 'term', 'term', 'time']"
0021,"['15:33:23.61', '26-feb-1987', 'altern', 'banker', 'bear', 'bear', 'bsc', 'capit', 'capit', 'cell', 'co', 'compani', 'conserdyn', 'contain', 'corp', 'corp', 'design', 'develop', 'electr', 'exclus', 'facil', 'financ', 'generat', 'hugh', 'hugh', 'hugh', 'inc', 'instal', 'invest', 'made', 'market', 'micro', 'municip', 'pact', 'photovolta', 'power', 'power', 'public', 'replac', 'said', 'said', 'self', 'sign', 'sourc', 'sourc', 'stearn', 'stearn', 'system', 'system', 'unit', 'unit', 'use', 'util', 'util']"
0022,"['0.75', '0.75', '15:34:07.03', '26-feb-1987', '66', '66', 'cathod', 'cent', 'cent', 'cent', 'co', 'copper', 'copper', 'copper', 'corp', 'cts', 'cut', 'effect', 'immedi', 'lb', 'lower', 'magma', 'magma', 'mine', 'newmont', 'price', 'said', 'subsidiari']"
0023,"['1.00', '13', '15:34:16.30', '1988', '20', '21.6', '26-feb-1987', '28', '3.07', '3.08', '31', '337', '35', '37', '37', '66.0', '66.2', 'approv', 'april', 'b', 'beverag', 'bfdb', 'bit', 'board', 'brown', 'brown', 'brown', 'brown', 'brown', 'brown', 'cash', 'cash', 'cash', 'cash', 'charg', 'cite', 'class', 'class', 'class', 'common', 'compani', 'compani', 'compani', 'compani', 'compani', 'continu', 'corpor', 'cts', 'cts', 'cts', 'declar', 'declin', 'director', 'dividend', 'dividend', 'dividend', 'dlr', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'dlrs', 'due', 'earlier', 'earn', 'earn', 'effect', 'expect', 'fiscal', 'flow', 'flow', 'forman', 'forman', 'forman', 'forman', 'forman', 'forman', 'holder', 'improv', 'improv', 'inc', 'increas', 'increas', 'increas', 'lower', 'march', 'march', 'mln', 'mln', 'mln', 'mln', 'month', 'new', 'nine', 'one', 'oper', 'outlook', 'paid', 'payabl', 'payout', 'pct', 'pct', 'pct', 'prior', 'profit', 'profit', 'quarter', 'quarter', 'quarter', 'quarter', 'rais', 'rate', 'reason', 'record', 'record', 'report', 'restructur', 'restructur', 'said', 'said', 'said', 'said', 'said', 'sale', 'second', 'set', 'seven', 'share', 'share', 'share', 'share', 'share', 'share', 'split', 'split', 'split', 'split', 'stock', 'stock', 'strong', 'substanti', 'tax', 'third', 'three', 'today', 'two', 'up', 'would', 'year']"
0024,"['10', '11', '12', '15', '15:35:16.67', '16,000', '16.1', '1987', '1987', '2,330,000', '203,000', '26-feb-1987', '27', '3,971,000', '4', '42', '55,000', '7,075,000', '72', '72', '72,000', 'annual', 'annual', 'april', 'cts', 'cts', 'cts', 'cts', 'cts', 'cts', 'div', 'dividend', 'ee', 'electron', 'esquir', 'four', 'inc', 'loss', 'loss', 'march', 'mln', 'mths', 'net', 'net', 'note', 'payabl', 'prior', 'profit', 'profit', 'profit', 'profit', 'profit', 'profit', 'qtr', 'radio', 'record', 'rev', 'rev', 'shr', 'shr', 'stockhold', 'th', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs', 'vs', 'yr']"
0025,"['15:35:39.38', '26-feb-1987', 'acquisit', 'acquisit', 'american', 'axp', 'brother', 'co', 'compani', 'depart', 'depart', 'director', 'director', 'express', 'fenner', 'former', 'inc', 'join', 'lehman', 'lehman', 'lynch', 'manag', 'manag', 'mer', 'merger', 'merger', 'merril', 'name', 'new', 'part', 'pierc', 'robert', 'said', 'said', 'shearson', 'shearson', 'shearson', 'smith', 'stearn', 'stearn', 'unit']"
